"Roadname and Road ID","Unique Asset ID","Park Ref","Easting (Location/Map Coordinates)","Northing (Location/Map Coordinates)","Geometry"
"PARK 02 - PARDIPARDINYILLA (5022)","PS60","Park 2 -Pardipardinyilla","279872.902","6135448.798","POINT (15427866.2077142 -4150237.37207062)"
"PARK 02 - PARDIPARDINYILLA (5022)","PS61","","279792.385","6135371.513","POINT (15427765.9248396 -4150329.51128026)"
"PARK 02 - PARDIPARDINYILLA (5022)","PS62","Park 2 -Pardipardinyilla","279856.683","6135452.839","POINT (15427846.5819374 -4150231.95302329)"
"PARK 02 - PARDIPARDINYILLA (5022)","PS63","Park 2 -Pardipardinyilla","279784.2246","6135450.4519","POINT (15427758.3048123 -4150232.73875617)"
"PARK 02 - PARDIPARDINYILLA (5022)","PS64","Park 2 -Pardipardinyilla","279780.343","6135454.0349","POINT (15427753.6845882 -4150228.24291865)"
"PARK 20 - KURANGGA (5207)","PS65","Park 20 - Kurangga","281262.942","6131471.502","POINT (15429442.4703743 -4155142.98843531)"
"PARK 20 - KURANGGA (5207)","PS66","Park 20 - Kurangga","281242.993","6131469.885","POINT (15429418.1273905 -4155144.38212004)"
"PARK 20 - KURANGGA (5207)","PS67","Park 20 - Kurangga","281305.697","6131455.058","POINT (15429494.0619657 -4155164.35894747)"
"PARK 20 - KURANGGA (5207)","PS68","Park 20 - Kurangga","281381.12","6131155.32","POINT (15429577.1803316 -4155533.27852259)"
"PARK 20 - KURANGGA (5207)","PS69","Park 20 - Kurangga","281389.203","6131118.182","POINT (15429585.9420898 -4155578.9520778)"
"PARK 20 - KURANGGA (5207)","PS70","Park 20 - Kurangga","281368.791","6131145.393","POINT (15429561.8748799 -4155545.06264442)"
"PARK 20 - KURANGGA (5207)","PS71","Park 20 - Kurangga","281334.441","6131022.004","POINT (15429516.439916 -4155695.01849217)"
"PARK 21 - WALYU YARTA (5211)","PS73","Park 21 - Walyu Yarta","280727.976","6131404.24","POINT (15428788.9722496 -4155209.58273617)"
"PARK 21 - WALYU YARTA (5211)","PS74","Park 21 - Walyu Yarta","280643.198","6131375.33","POINT (15428684.8755941 -4155242.46089551)"
"PARK 21 - WALYU YARTA (5211)","PS75","Park 21 - Walyu Yarta","280629.172","6131283.08","POINT (15428665.0944452 -4155354.90950864)"
"PARK 21WEST - MIRNU WIRRA (5216)","PS76","Park 21 - Walyu Yarta","280019.7411","6131355.2665","POINT (15427924.9806816 -4155248.65988979)"
"PARK 21WEST - MIRNU WIRRA (5216)","PS77","Park 21 - Walyu Yarta","279985.4779","6131355.9172","POINT (15427883.270779 -4155246.85401508)"
"PARK 21WEST - MIRNU WIRRA (5216)","PS78","Park 21 - Walyu Yarta","279960.397","6131340.2417","POINT (15427852.2648843 -4155265.29233009)"
"PARK 21WEST - MIRNU WIRRA (5216)","PS79","Park 21 - Walyu Yarta","279945.0201","6131348.9006","POINT (15427833.7915182 -4155254.24563364)"
"PARK 21WEST - MIRNU WIRRA (5216)","PS80","Park 21 - Walyu Yarta","279904.2636","6131340.9881","POINT (15427783.9221204 -4155262.72428047)"
"PARK 21 - WALYU YARTA (5211)","PS81","Park 21 - Walyu Yarta","280514.937","6131250.863","POINT (15428525.0231607 -4155390.96661279)"
"PARK 21 - WALYU YARTA (5211)","PS82","Park 21 - Walyu Yarta","280531.111","6131251.956","POINT (15428544.7537276 -4155390.10497741)"
"PARK 25 - NARNUNGGA (5252)","PS83","","279296.674","6132814.81","POINT (15427087.308409 -4153441.84836345)"
"PARK 25 - NARNUNGGA (5252)","PS84","Park 25 - Narnungga","279344.783","6132794.264","POINT (15427145.2861743 -4153468.40178793)"
"PARK 26 - TARNTANYA WAMA (5264)","PS85","Park 26 - Tarntanya Wama","280353.2565","6133372.541","POINT (15428390.2326896 -4152790.78387473)"
"PARK 27 - BONYTHON PARK  -  TULYA WARDLI (5278)","PS86","Park 27 - Bonython Park - Tulya Wardli","279013.873","6133849.095","POINT (15426773.3984444 -4152168.41457263)"
"PARK 27 - BONYTHON PARK  -  TULYA WARDLI (5278)","PS88","Park 27 - Bonython Park - Tulya Wardli","279110.719","6133606.529","POINT (15426884.1755855 -4152467.9569289)"
